node_id,sub_document,node_type,label,title,pages,reading_order,text_raw,correct_yn,corrected_text,notes
n_0412,general_terms,list_item,g,,38,412,Penyedia lalai/cidera janji dalam melaksanakan kewajibannya dan tidak memperbaiki kelalaiannya dalam jangka waktu yang telah ditetapkan;,Y,,
n_0438,general_terms,subclause,46.2,,39,438,Pengakhiran pekerjaan sesuai pasal 46.1 dituangkan dalam addendum final yang berisi perubahan akhir dari Kontrak.,Y,,
n_0436,general_terms,list_item,2,,39,436,pelaksanaan kontrak tidak dapat dilanjutkan akibat keadaan kahar; atau,Y,,
n_0428,general_terms,list_item,b,,39,428,dokumen pendukung.,Y,,
n_0481,general_terms,subclause,56.1,,43,481,Penyedia berkewajiban untuk mendapatkan lebih dahulu persetujuan tertulis Pejabat yang berwenang untuk menandatangani Kontrak sebelum melakukan tindakan-tindakan berikut:,Y,,FIXED. Clause 56 body correctly de-interleaved from its 5-line title - this was the worst failure in two earlier samples.
n_0478,general_terms,subclause,55.2,,43,478,Penyedia wajib menyediakan asuransi bagi pihak ketiga sebagai akibat kecelakaan di lokasi kerja.,Y,,
n_0508,general_terms,clause,59,Kerjasama Antara Penyedia dan Subkontraktor,45,508,,Y,,FIXED. Full title captured; text_raw correctly empty.
n_0519,general_terms,subclause,59.3,,46,519,Subkontraktor dilarang mengalihkan atau mensubkontrakkan pekerjaan.,Y,,
n_0513,general_terms,list_item,a,,46,513,Paling banyak 2 (dua) pekerjaan;,Y,,
n_0566,general_terms,subclause,66.2,,50,566,Jika Peristiwa Kompensasi mengakibatkan pengeluaran tambahan dan/atau keterlambatan penyelesaian pekerjaan maka Pejabat yang berwenang untuk menandatangani Kontrak berkewajiban untuk membayar ganti rugi dan/atau memberikan perpanjangan Masa Pelaksanaan.,Y,,
n_0595,general_terms,list_item,f,,52,595,"Pejabat yang berwenang untuk menandatangani Kontrak harus mengajukan Surat Permintaan Pembayaran (SPP) kepada Pejabat Penandatangananan Surat Perintah Membayar (PPSPM) untuk permohonan tersebut pada huruf f, paling lambat 7 (tujuh) hari kerja setelah Jaminan Uang Muka diterima.",Y,,Source typo 'Penandatangananan' is in the PDF - keep verbatim.
n_0607,general_terms,list_item,5,,53,607,uang retensi.,Y,,
n_0598,general_terms,list_item,a,,53,598,Penyedia telah mengajukan tagihan disertai laporan kemajuan hasil pekerjaan;,Y,,
n_0614,general_terms,list_item,b,,54,614,"bahan dan/atau peralatan yang belum dilakukan uji fungsi (commisioning), serta merupakan bagian dari pekerjaan utama harus memenuhi ketentuan sebagai berikut: (1) berada di lokasi pekerjaan sebagaimana tercantum dalam Kontrak dan perubahannya; (2) memiliki sertifikat uji mutu dari pabrikan/produsen; (3) bersertifikat garansi dari produsen/agen resmi yang ditunjuk oleh produsen; (4) disetujui oleh Pejabat yang berwenang untuk menandatangani Kontrak sesuai dengan capaian fisik yang diterima; (5) dilarang dipindahkan dari area lokasi pekerjaan dan/atau dipindah- tangankan oleh pihak manapun; dan (6) keamanan penyimpanan dan risiko kerusakan sebelum diserahterimakan secara satu kesatuan fungsi merupakan tanggung jawab Penyedia.",Y,,
n_0623,general_terms,list_item,2,,55,623,1‰ (satu perseribu) dari Harga Kontrak (sebelum PPN); sesuai yang ditetapkan dalam SSKK.,Y,,"Per-mille sign preserved. Note the trailing 'sesuai yang ditetapkan dalam SSKK.' belongs to the parent list, not to item 2 - minor over-capture."
n_0640,general_terms,subclause,72.1,,56,640,Pembayaran angsuran prestasi pekerjaan terakhir dilakukan setelah pekerjaan selesai 100% (seratus persen) dan berita acara serah terima pertama pekerjaan telah ditandatangani oleh kedua pihak.,Y,,FIXED. Correctly re-typed as subclause 72.1 and the dropped opening words 'Pembayaran angsuran prestasi pekerjaan' are restored. This was the most dangerous failure in the previous sample - a fluent but factually wrong sentence.
n_0653,general_terms,subclause,76.1,,58,653,"Pejabat yang berwenang untuk menandatangani Kontrak atau Pengawas Pekerjaan akan memeriksa setiap hasil pekerjaan dan memberitahukan Penyedia secara tertulis atas setiap Cacat Mutu yang ditemukan. Pejabat yang berwenang untuk menandatangani Kontrak atau Pengawas Pekerjaan dapat memerintahkan Penyedia untuk menemukan dan mengungkapkan Cacat Mutu , serta menguji hasil pekerjaan yang dianggap oleh Pejabat yang berwenang untuk menandatangani Kontrak atau Pengawas Pekerjaan mengandung Cacat Mutu . Penyedia bertanggung jawab atas perbaikan Cacat Mutu selama Masa Kontrak.",Y,,"Correctly de-interleaved. Double space before ',' in 'Cacat Mutu ,' is in the source."
n_0652,general_terms,clause,76,Pemeriksaan dan Pengujian Cacat Mutu,58,652,,Y,,FIXED. Full title captured; text_raw correctly empty.
n_0665,general_terms,subclause,78.2,,59;60,665,"Penyedia bertanggung jawab atas Kegagalan Bangunan selama Umur Konstruksi yang tercantum dalam SSKK tetapi tidak lebih dari 10 (sepuluh) tahun, dan dalam SSKK agar dicantumkan lama pertanggungan terhadap Kegagalan Bangunan yang ditetapkan apabila rencana Umur Konstruksi kurang dari 10 (sepuluh) tahun.",Y,,Correctly merged across the p59/p60 break.
n_0667,general_terms,subclause,78.4,,60,667,"Penyedia berkewajiban untuk melindungi, membebaskan, dan menanggung tanpa batas Pejabat yang berwenang untuk menandatangani Kontrak beserta instansinya terhadap semua bentuk tuntutan, tanggung jawab, kewajiban, kehilangan, kerugian, denda, gugatan atau tuntutan hukum, proses pemeriksaan hukum, dan biaya yang dikenakan terhadap Pejabat yang berwenang untuk menandatangani Kontrak beserta instansinya (kecuali kerugian yang mendasari tuntutan tersebut disebabkan kesalahan atau kelalaian Pejabat yang berwenang untuk menandatangani Kontrak) sehubungan dengan klaim kehilangan atau kerusakan harta benda, dan cidera tubuh, sakit atau kematian pihak ketiga yang timbul dari Kegagalan Bangunan.",Y,,
n_0672,general_terms,subclause,79.2,,60,672,"Dalam hal musyawarah para pihak sebagaimana dimaksud pada pasal 79.1 tidak dapat mencapai suatu kemufakatan, maka penyelesaian perselisihan atau sengketa antara para pihak ditempuh melalui tahapan mediasi, konsiliasi, dan arbitrase.",Y,,
n_0681,special_terms,caption,,,62,681,SYARAT-SYARAT KHUSUS KONTRAK KONTRAK,Y,,Duplicated 'KONTRAK' is a genuine source typo on p62.
n_0683,annex_a,caption,,,67,683,DAFTAR HARGA SATUAN TIMPANG*),Y,,
n_0682,annex_a,header,,,67,682,LAMPIRAN A SYARAT-SYARAT KHUSUS KONTRAK,Y,,
n_0692,annex_a,caption,,,68,692,DAFTAR PERALATAN UTAMA,Y,,
n_0702,annex_b,section,E,,69,702,Evaluasi Kinerja Keselamatan Konstruksi E.1. Pemantauan dan evaluasi E.2. Tinjauan manajemen E.3. Peningkatan kinerja keselamatan konstruksi,Y,,"Text faithful, but this is a DAFTAR ISI entry on p69, not a real section. Typed as node_type 'section' label 'E', it creates a phantom section E competing with actual Lampiran B content. Flagged in the two previous samples - still unaddressed."
n_0709,annex_b,list_item,6,,70,709,Melaksanakan Standar Operasi dan Prosedur (SOP);,Y,,FIXED. Correctly re-typed from 'clause' to 'list_item'; the body sentence is back in text_raw and `title` is empty. This closes the content-loss regression from the previous sample.
n_0708,annex_b,list_item,5,,70,708,Menggunakan teknologi yang memenuhi standar kelaikan; dan,Y,,FIXED. Correctly re-typed from 'clause' to 'list_item'; the body sentence is back in text_raw and `title` is empty. This closes the content-loss regression from the previous sample.
n_0711,annex_b,heading,,PAKTA KOMITMEN KESELAMATAN KONSTRUKSI,71,711,Kami yang bertanda tangan di bawah ini:,Y,,"FIXED. Heading and opening body line now correctly split - title='PAKTA KOMITMEN KESELAMATAN KONSTRUKSI', text_raw holds the body line."
